species.id,genus,species,subspecies,scientific.name,common.name,origin,taxa,vector,first.date,IF.score,unknown,tm.161,status,Scientific Name,IF Score,Source
2726,Ulva (Enteromorpha),flexuosa,subsp. flexuosa and flexuosa subsp. paradoxa,Ulva (Enteromorpha) flexuosa subsp. flexuosa and flexuosa subsp. paradoxa,"Green alga, grass kelp",Unknown,Algae,Ballast,2003,5,0,a,established,Ulva (Enteromorpha) flexuosa subsp. flexuosa and flexuosa subsp. paradoxa,5,TM-161
1100,Butomus,umbellatus,,Butomus umbellatus,Flowering rush,Eurasia,Plants,Deliberate Release,1905,4,3,a,established,Butomus umbellatus,4,TM-161
2669,Conium,maculatum,,Conium maculatum,Poison-hemlock,Eurasia,Plants,Deliberate Release,1843,4,0,a,established,Conium maculatum,4,TM-161
361,Ictiobus,bubalus,,Ictiobus bubalus,Smallmouth Buffalo,North America,Fish,Direct Accidental Release,1965,4,,Sturtevant 2023,established,Ictiobus bubalus,4,Sturtevant 2023
498,Misgurnus,anguillicaudatus,,Misgurnus anguillicaudatus,Pond Loach,Asia,Fish,Canal,1939,4,2,e,established,Misgurnus anguillicaudatus,4,Bartos 2021
906,Oncorhynchus,gorbuscha,,Oncorhynchus gorbuscha,Pink Salmon,North America,Fish,Direct Accidental Release,1956,4,2,c,established,Oncorhynchus gorbuscha,4,"Boucher and Lower 2019 (TM-161c), TM-161"
3246,Salix,caprea,,Salix caprea,Goat willow,Eurasia,Plants,Deliberate Release,1993,4,3,b,established,Salix caprea,4,Hopper 2018 (TM-161b)
2665,Solanum,dulcamara,,Solanum dulcamara,Bitter nightshade,Eurasia,Plants,Deliberate Release,1843,4,2,a,established,Solanum dulcamara,4,TM-161
1695,Actinocyclus,normanii,f. subsalsa,Actinocyclus normanii f. subsalsa,A centric diatom,Europe,Algae,Ballast,1709,3,0,a,cryptogenic,Actinocyclus normanii f. subsalsa,3,Bartos 2021
2696,Alnus,glutinosa,,Alnus glutinosa,Black alder,Eurasia,Plants,Deliberate Release,1913,3,1,a,established,Alnus glutinosa,3,TM-161
